name,pl_orbper,pl_disc,new_rade,fpl_smax,new_insol
Kepler-1513 b,160.88465087,2016,8.46,NA,NA
Kepler-1514 b,217.8317626,2016,11.82,NA,NA
Kepler-1515 b,214.3114164,2016,9.55,NA,NA
Kepler-1516 b,7.25931979,2016,1.75,NA,NA
Kepler-1517 b,5.54608367,2016,9.76,NA,NA
Kepler-1518 b,5.11177904,2016,3.05,NA,NA
Kepler-1519 b,240.7989397,2016,7.06,NA,NA
Kepler-152 b,18.207973,2014,2.79,0.124,21.289067044669498
Kepler-152 c,88.255055,2014,2.39,0.356,2.58285487058798
Kepler-1520 b,0.65355357,2016,5.77,NA,NA
Kepler-1521 b,47.14840805,2016,2.5,NA,NA
Kepler-1522 b,1.84788917,2016,1.73,NA,NA
Kepler-1523 b,0.93875077,2016,1.58,NA,NA
Kepler-1524 b,70.9674603,2016,3.54,NA,NA
Kepler-1525 b,2.41660118,2016,0.91,NA,NA
Kepler-1526 b,3.908632,2016,2.43,NA,NA
Kepler-1527 b,160.129918,2016,4.77,NA,NA
Kepler-1528 b,1.79111021,2016,1.46,NA,NA
Kepler-1529 b,5.33905686,2016,2.1,NA,NA
Kepler-153 b,18.870227,2014,2.92,0.129,20.788376769792794
Kepler-153 c,46.90232,2014,2.53,0.237,6.158902202747457
Kepler-1530 b,2.5904434,2016,1.64,NA,NA
Kepler-1530 c,5.3227406,2016,1.65,NA,NA
Kepler-1531 b,1.13854338,2016,1.11,NA,NA
Kepler-1532 b,1.09366356,2016,1.35,NA,NA
Kepler-1533 b,308.5471,2016,3.46,NA,NA
Kepler-1534 b,5.71668872,2016,1.89,NA,NA
Kepler-1535 b,138.9442,2016,2.55,NA,NA
Kepler-1536 b,364.758031,2016,3.14,NA,NA
Kepler-1537 b,1.4444538,2016,1.18,NA,NA
Kepler-1538 b,175.138819,2016,2.82,NA,NA
Kepler-1539 b,133.3036741,2016,2.7,NA,NA
Kepler-154 b,33.040532,2014,2.26,0.198,26.464861131976647
Kepler-154 c,62.303276,2014,2.95,0.303,11.300944524153543
Kepler-154 d,20.54981883,2016,3.84,NA,NA
Kepler-154 e,3.93276465,2016,1.5,NA,NA
Kepler-154 f,9.91935684,2016,1.5,NA,NA
Kepler-1540 b,125.4131177,2016,2.49,NA,NA
Kepler-1541 b,8.40691199,2016,1.16,NA,NA
Kepler-1542 b,3.95116882,2016,0.76,NA,NA
Kepler-1542 c,2.89223021,2016,0.65,NA,NA
Kepler-1542 d,5.99273738,2016,0.87,NA,NA
Kepler-1542 e,5.10115756,2016,0.76,NA,NA
Kepler-1543 b,6.96710269,2016,2.71,NA,NA
Kepler-1544 b,168.811174,2016,1.78,0.5421,0.7867580322275215
Kepler-1545 b,163.692349,2016,2.7,NA,NA
Kepler-1546 b,19.5974971,2016,3.13,NA,NA
Kepler-1547 b,0.69297968,2016,0.9,NA,NA
Kepler-1548 b,124.828679,2016,2.64,NA,NA
Kepler-1549 b,214.886545,2016,2.57,NA,NA
Kepler-155 b,5.931194,2014,2.09,0.056,55.54231101376321
Kepler-155 c,52.661793,2014,2.24,0.242,2.974193827934592
Kepler-1550 b,225.582809,2016,3.02,NA,NA
Kepler-1551 b,24.4973698,2016,2.66,NA,NA
Kepler-1552 b,184.771853,2016,2.47,NA,NA
Kepler-1553 b,4.24261881,2016,1.15,NA,NA
Kepler-1554 b,198.088774,2016,2.9,NA,NA
Kepler-1555 b,8.10501635,2016,1.61,NA,NA
Kepler-1556 b,8.82713457,2016,1.96,NA,NA
Kepler-1557 b,3.74032496,2016,1.53,NA,NA
Kepler-1558 b,3.50470358,2016,0.68,NA,NA
Kepler-1559 b,0.97191543,2016,0.72,NA,NA
Kepler-156 b,4.973456,2014,2.3,0.054,124.22599397006127
Kepler-156 c,15.906801,2014,2.55,0.117,26.462341910782275
Kepler-1560 b,3.03195744,2016,0.89,NA,NA
Kepler-1561 b,1.00520701,2016,1.09,NA,NA
Kepler-1562 b,64.2737752,2016,3.55,NA,NA
Kepler-1563 b,3.43276598,2016,0.75,NA,NA
Kepler-1564 b,18.0540381,2016,1.47,NA,NA
Kepler-1565 b,1.53818844,2016,1.19,NA,NA
Kepler-1566 b,0.53991524,2016,0.79,NA,NA
Kepler-1567 b,153.979578,2016,2.73,NA,NA
Kepler-1568 b,20.925392,2016,1.3,NA,NA
Kepler-1569 b,5.79180156,2016,1.68,NA,NA
Kepler-157 b,1.732342,2014,1.32,0.028,1444.3882184127003
Kepler-157 c,13.5405,2014,2.24,0.11,93.58680687897167
