name,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,dec,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,pl_cbflag,pl_eqt,pl_insol,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_msinie,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_imppar,pl_disc,pl_status,gaia_dist,st_spstr,st_logg,st_metfe,st_age,pl_locale,pl_facility,pl_telescope,pl_instrument,rowupdate,pl_masse,pl_Rforecast2,new_rade,fpl_rade
K2-84 b,K2-84,b,Transit,2,6.4215,0.0665,0.0016,-0.0016,NA,0,1,03h43m14.23s,+16d38m04.4s,55.809273,16.634548,287.23,13.443,V (Johnson),13.147,5652,154,-154,0.95,0.07,-0.07,0.93,0.12,-0.12,0,NA,178,NA,NA,NA,NA,2.41,0.35,-0.35,NA,0.1170833,NA,2016,3,287.23,NA,4.48,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-07-18,NA,NA,2.41,2.41
K2-84 c,K2-84,c,Transit,2,27.86,0.1768,0.0043,-0.0043,NA,0,1,03h43m14.23s,+16d38m04.4s,55.809273,16.634548,287.23,13.443,V (Johnson),13.147,5652,154,-154,0.95,0.07,-0.07,0.93,0.12,-0.12,0,NA,25.3,NA,NA,NA,NA,2.03,0.32,-0.32,NA,0.1920833,NA,2016,3,287.23,NA,4.48,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-07-18,NA,NA,2.03,2.03
K2-85 b,K2-85,b,Transit,1,0.684533,0.01263,3.7e-4,-3.7e-4,NA,0,1,03h57m51.45s,+18d27m54.9s,59.464394,18.465254,97.49,12.831,V (Johnson),12.06,4268,122,-122,0.57,0.05,-0.05,0.51,0.04,-0.04,0,NA,479,NA,NA,NA,NA,1.01,0.12,-0.12,NA,0.0325833,NA,2016,3,97.49,NA,4.78,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-07-18,NA,NA,1.01,1.01
K2-86 b,K2-86,b,Transit,1,8.77683,0.077,0.0026,-0.0026,NA,0,1,03h26m12.67s,+18d38m08.2s,51.552799,18.635616,260.61,13.167,V (Johnson),12.798,5482,248,-248,0.79,0.08,-0.08,0.76,0.09,-0.09,0,NA,78,NA,NA,NA,NA,1.96,0.27,-0.27,NA,0.1145833,NA,2016,3,260.61,NA,4.58,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-07-18,NA,NA,1.96,1.96
K2-87 b,K2-87,b,Transit,1,9.726618,0.094,0.001,-0.001,NA,0,1,04h24m56.69s,+18d49m38.7s,66.236221,18.827417,503.6,14.134,V (Johnson),13.708,5747,58,-49,1.16,0.04,-0.04,1.4,0.08,-0.06,0,979,NA,NA,NA,NA,NA,7.6,0.4,-0.4,NA,0.19,0.57,2016,3,498.24,NA,4.21,0.328,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2019-01-31,NA,NA,7.6,7.6
K2-88 b,K2-88,b,Transit,1,4.6122,0.0345,0.003,-0.003,NA,0,1,03h39m00.38s,+19d07m12.6s,54.751598,19.120178,110.91,15.476,V (Johnson),14.545,3537,93,-93,0.26,0.07,-0.07,0.26,0.05,-0.05,0,NA,7.8,NA,NA,NA,NA,1.23,0.25,-0.25,NA,0.0432917,NA,2016,3,110.91,NA,5.02,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-07-18,NA,NA,1.23,1.23
K2-89 b,K2-89,b,Transit,1,1.096026,0.01462,5.1e-4,-5.1e-4,NA,0,1,03h48m16.01s,+20d27m34.7s,57.066715,20.459639,86.25,14.162,V (Johnson),13.322,3691,51,-51,0.35,0.04,-0.04,0.32,0.03,-0.03,0,NA,78,NA,NA,NA,NA,0.615,0.08,-0.08,NA,0.0372917,NA,2016,3,86.25,NA,4.96,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-07-18,NA,NA,0.615,0.615
K2-9 b,K2-9,b,Transit,1,18.4498,0.091,0.013,-0.016,NA,0,1,11h45m03.47s,+00d00m19.1s,176.264465,0.005301,83.16,15.63,V (Johnson),14.866,3390,150,-150,0.3,0.14,-0.14,0.31,0.11,-0.11,0,314,1.36,NA,NA,NA,NA,2.25,0.53,-0.96,NA,0.1183208,0.9261,2015,3,83.16,M2.5 V,NA,-0.25,1,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-01-21,NA,NA,2.25,2.25
K2-90 b,K2-90,b,Transit,2,13.733314,0.096,0.001,-0.001,NA,0,1,03h56m36.58s,+22d28m21.5s,59.152405,22.472631,134.9,13.855,V (Johnson),13.229,4484,58,-50,0.63,0.02,-0.02,0.62,0.01,-0.01,0,502,NA,NA,NA,NA,NA,2.6,0.1,-0.1,NA,0.123,0.44,2016,3,134.71,NA,4.65,-0.225,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2019-01-31,NA,NA,2.6,2.6
K2-90 c,K2-90,c,Transit,2,2.900706,0.035,0.001,-0.001,0.19,0,1,03h56m36.58s,+22d28m21.5s,59.152405,22.472631,134.9,13.855,V (Johnson),13.229,4484,58,-50,0.63,0.02,-0.02,0.62,0.01,-0.01,0,NA,80.8,NA,NA,NA,NA,1.3,0.13,-0.11,NA,NA,NA,2016,3,134.71,NA,4.65,-0.225,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2017-10-26,NA,NA,1.3,1.3
K2-91 b,K2-91,b,Transit,1,1.419549,0.0164,0.0011,-0.0011,NA,0,1,04h12m52.34s,+24d12m18.4s,63.218063,24.205112,62.69,15.572,V (Johnson),14.322,3622,104,-104,0.29,0.06,-0.06,0.28,0.04,-0.04,0,NA,46,NA,NA,NA,NA,1.1,0.18,-0.18,NA,0.039375,NA,2016,3,62.69,NA,5,NA,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2016-07-18,NA,NA,1.1,1.1
K2-95 b,K2-95,b,Transit,1,10.134016,0.0696,6e-4,-6e-4,NA,0,1,08h37m27.06s,+18d58m36.1s,129.362747,18.976685,180.63,15.498,Kepler-band,16.084,3548,59,-59,0.44,0.01,-0.01,0.42,0.01,-0.01,0,383,NA,NA,NA,NA,NA,3.88,1.75,-1.75,NA,NA,0.83,2016,3,180.66,M3.0,4.84,-0.03,NA,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2018-10-26,NA,NA,3.88,3.88
